Adverb,Class,English Definition
一層,1,still more
非常に,1,extremely
凄く,1,amazingly
結構,1,pretty/fairly
だいぶ,1,largely
あんなに,1,like that/as such
少々,1,a little/slightly
ずっと,1,constantly/all the way/consistently
大変,1,very/difficult
一杯,1,wholly/utmost
かなり,1,rather/pretty/fairly
こんなに,1,in this way/like this
大抵,1,usually/generally
殆ど,1,mostly
大勢,1,a great number of
大体,1,almost/essentially
随分,1,a considerable amount
沢山,1,a lot
少し,1,a little
とても,1,very
以外に,2,unexpectedly
一軒も,2,Not even one
いったい,2,what in the world
恐らく,2,probably
却って,2,rather
決して,2,never
流石に,2,as a matter of course
さっぱり,2,not at all/entirely
確か,2,certainly
それ程,2,that much
誰とも,2,with no one
どうやら,2,somehow or other
なるべく,2,as much as possible
真逆,2,the exact opposite
滅多に,2,rarely
別に,2,separately
例えば,2,for example
結局,2,after all
たしかに,2,indeed
絶対に,2,absolutely
一応,3,just in case
序でに,3,by the way
相変らず,3,as ever
思いっきり,3,to the fullest
主に,3,mainly
普段,3,usually
基本的に,3,basically
態と,3,intentionally
偶然,3,by chance
自分で,3,by one’s self
詳しく,3,in detail
こう,3,in this way
更に,3,furthermore
突然,3,suddenly
しっかり,3,firmly/focused
元々,3,originally
次第に,3,gradually
色々,3,variously
順番に,3,in turn
じろじろ,3,with scrutiny/staring at
